Name,Sensitivity,Specificity,Time,Date,Area,Technology,Entity,Type,Latitude,Longitude,number,
VITROS Immunodiagnostic Products Anti-SARS-CoV-2 IgG Reagent?Pack,1,1,0.25,2020-04-24,U.S.A,Serology IgG only,"Ortho-Clinical Diagnostics, Inc.",antibody tests,-93,45,1,
SARS-CoV-2 IgG assay,1,0.9936,0.25,2020-04-26,U.S.A,Serology IgG only,Abbott Laboratories Inc.,antibody tests,-87.6333,41.8333,1,
U-TOP COVID-19 Detection Kit,1,1,2.5,2020-04-27,South Korea,Molecular,SEASUN BIOMATERIALS,Viral tests,126.96667,37.55,1,韩国
LabGun COVID-19 RT-PCR Kit,1,1,2.5,2020-04-29,South Korea,Molecular,"LabGenomics Co., Ltd.",Viral tests,127.137779,37.43861,1,韩国
Platelia SARS-CoV-2 Total Ab assay,1,0.9216,0.25,2020-04-29,U.S.A,Serology Total Antibody,Bio-Rad Laboratories,antibody tests,-122.41667,37.8,1,
Rheonix COVID-19 MDx Assay,1,1,2.5,2020-04-29,U.S.A,Molecular,"Rheonix, Inc",Viral tests,-76.5,42.5,1,
New York SARS-CoV Microsphere Immunoassay for Antibody Detection,0.88,0.996,0.25,2020-04-30,U.S.A,Serology Total Antibody,"Wadsworth Center, New York State Department of Health",antibody tests,113.27324,113.27324,1,
BioFire Respiratory Panel 2.1,1,1,2.5,2020-05-01,U.S.A,Molecular,"BioFire Diagnostics, LLC",Viral tests,-111.96667,40.76667,3,
Bio-Rad SARS-CoV-2 ddPCR Test,1,1,2.5,2020-05-01,U.S.A,Molecular,"Bio-Rad Laboratories, Inc.",Viral tests,-122.41667,37.8,2,
Elecsys Anti-SARS-CoV-2,1,0.9981,0.25,2020-05-02,U.S.A,Serology Antibody,Roche Diagnostics,antibody tests,-86.28333,39.7333,1,
Anti-SARS-CoV-2 ELISA (IgG),0.99,0.99,0.25,2020-05-04,U.S.A,Serology IgG,EUROIMMUN US Inc.,antibody tests,-74.4333,40.9,1,
Novel Coronavirus (2019-nCoV) Nucleic Acid Diagnostic Kit (PCR-Fluorescence Probing)?,1,1,2.5,2020-05-04,China,Molecular,Sansure BioTech Inc.,Viral tests,112.59,28.12,2,
FTD SARS-CoV-2,1,1,2.5,2020-05-05,U.S.A,Molecular,Fast Track Diagnostics Luxembourg S.á.r.l. (a Siemens Healthineers Company),Viral tests,113.27324,113.27324,1,
OPTI SARS-CoV-2 RT PCR Test,1,1,3,2020-05-06,U.S.A,Molecular,"OPTI Medical Systems, Inc.",Viral tests,113.27324,113.27324,1,
SARS-COV-2 R-GENE,1,1,2.5,2020-05-06,U.S.A,Molecular,BioMérieux SA,Viral tests,113.27324,113.27324,1,
Sherlock CRISPR SARS-CoV-2 Kit,1,1,2.5,2020-05-06,U.S.A,Molecular,"Sherlock BioSciences, Inc.",Viral tests,113.27324,113.27324,1,
Quick SARS-CoV-2rRT-PCR Kit,1,1,2.5,2020-05-07,U.S.A,Molecular,Zymo Research Corporation,Viral tests,113.27324,113.27324,1,
Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,1,1,2.5,2020-05-07,U.S.A,Molecular,Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Viral tests,113.27324,113.27324,1,
Gnomegen COVID-19-RT-qPCR Detection Kit,1,1,2.5,2020-05-08,U.S.A,Molecular,Gnomegen LLC,Viral tests,113.27324,113.27324,1,
Sofia 2 SARS Antigen FIA,0.964,1,0.25,2020-05-08,U.S.A,Antigen,Quidel Corporation,antibody tests,-117.16667,32.73333,2,
1copy COVID-19 qPCR Multi Kit,1,1,2.5,2020-05-11,U.S.A,Molecular,1drop Inc.,Viral tests,-83.71667,33.8,1,
Alinity m SARS-CoV-2 assay,1,1,2.5,2020-05-11,U.S.A,Molecular,Abbott Molecular Inc.,Viral tests,-87.88333,42.0333,1,
Linea COVID-19 Assay Kit,1,0.98,2.5,2020-05-13,U.S.A,Molecular,"Applied DNA Sciences, Inc.",Viral tests,-73.13333,-40.9333,1,
Aptima SARS-CoV-2 assay,1,0.99,2.5,2020-05-14,U.S.A,Molecular,"Hologic, Inc.",Viral tests,-92.06667,31.13333,1,
NeoPlex COVID-19 Detection Kit,1,1,2.5,2020-05-14,U.S.A,Molecular,"GeneMatrix, Inc.",Viral tests,113.27324,113.27324,1,
Assurance SARS-CoV-2 Panel,1,1,2.5,2020-05-15,U.S.A,Molecular,Assurance Scientific Laboratories,Viral tests,-86.75,33.56667,1,
Everlywell COVID-19 Test Home Collection Kit,1,0.945,0.25,2020-05-15,U.S.A,Home Collection Kit,"Everlywell, Inc.",antibody tests,-97.7,30.3,1,
Fulgent COVID-19 by RT-PCR Test,1,1,2.5,2020-05-15,U.S.A,Molecular,"Fulgent Therapeutics, LLC",Viral tests,-118.4,33.9333,1,
Lyra Direct SARS-CoV-2 Assay?,1,1,2.5,2020-05-18,U.S.A,Molecular,Quidel Corporation,Viral tests,-117.16667,32.73333,3,
P23 Labs TaqPath SARS-CoV-2 Assay,1,1,2.5,2020-05-21,U.S.A,Molecular,"P23 Labs, LLC.",Viral tests,113.27324,113.27324,1,
AQ-TOP COVID-19 Rapid Detection?Kit,1,1,2.5,2020-05-22,South Korea,Molecular,"Seasun Biomaterials, Inc.",Viral tests,126.96667,37.55,2,韩国
DiaPlexQ Novel Coronavirus (2019-nCoV) Detection Kit,1,1,2.5,2020-05-23,South Korea,Molecular,"SolGent Co., Ltd.",Viral tests,113.27324,113.27324,1,
BioCore 2019-nCoV Real Time PCR Kit,1,1,2.5,2020-05-24,South Korea,Molecular,"BioCore Co., Ltd.",Viral tests,126.96667,37.55,1,韩国
